,enumerator,geo_location,district,well_type,sw_bk_well_no,bk_dw_no,well_no_sw_bardiya,well_no_dw_bardiya,measurement_point_cm,Measurement_of_tape_ent_point_MP_in_m,wet_point_measruement_on_tape,gw_level,Notes,today,Audio_Notes,well_no,Month
66,Anita,28.1880089 81.4798633 90.77675645417352 4.854,Bardiya,sw,,,bd-sw-03,,40,6.0,1.8,3.8,,2021-07-08,,bd-sw-03,Jul
67,Anita,28.1658782 81.5010353 93.06979498311131 4.854,Bardiya,sw,,,bd-sw-17,,0,7.0,1.7,5.3,,2021-07-08,,bd-sw-17,Jul
68,Anita,28.1462923 81.4793364 89.85069285994025 4.551,Bardiya,sw,,,bd-sw-19,,30,8.0,1.8,5.9,,2021-07-08,,bd-sw-19,Jul
69,Anita,28.1486814 81.496827 85.64393435665194 4.803,Bardiya,sw,,,bd-sw-18,,40,7.0,1.8,4.8,,2021-07-08,,bd-sw-18,Jul
70,Anita,28.1056001 81.4828041 86.68986379303561 4.854,Bardiya,dt,,,,bd-dw-02,10,12.0,1.7,10.2,,2021-07-06,,bd-dw-02,Jul
71,Anita,28.0883557 81.5027002 86.34372548320997 4.854,Bardiya,dt,,,,bd-dw-03,20,14.0,1.9,11.9,,2021-07-06,,bd-dw-03,Jul
72,Anita,28.0828789 81.5111145 80.8468903454475 4.803,Bardiya,dt,,,,bd-dw-04,24,12.0,1.8,9.96,,2021-07-06,,bd-dw-04,Jul
73,Anita,28.0852523 81.5163728 83.6368732261931 4.803,Bardiya,dt,,,,bd-dw-01,25,14.0,1.9,11.85,,2021-07-06,,bd-dw-01,Jul
74,yogendra,28.1317725 81.6588471 104.23475521295485 4.854,Banke,sw,bk-sw-06_1,,,,45,5.0,4.28,0.27,,2021-06-29,,bk-sw-06_1,Jun
75,yogendra,28.1873244 81.6301051 109.90054282328481 4.854,Banke,sw,bk-sw-04,,,,65,5.0,3.85,0.5,,2021-06-29,,bk-sw-04,Jun
76,yogendra,28.1920662 81.574819 92.80679415892979 4.803,Banke,sw,bk-sw-05_1,,,,29,5.0,1.7,3.01,,2021-06-29,,bk-sw-05_1,Jun
77,yogendra,28.2065304 81.6307361 102.696006742006 4.803,Banke,sw,bk-sw-03,,,,40,10.0,2.7,6.9,,2021-06-29,,bk-sw-03,Jun
78,yogendra,28.1960406 81.7117094 115.2896097672967 4.854,Banke,sw,bk-sw-01,,,,20,5.0,2.52,2.28,,2021-06-29,,bk-sw-01,Jun
79,yogendra,28.1465206 81.5520268 99.46604775668895 4.551,Banke,sw,bk-sw-18_1,,,,27,5.0,2.2,2.53,,2021-06-28,,bk-sw-18_1,Jun
80,yogendra,28.1287189 81.589423 85.55599554696063 4.854,Banke,sw,bk-sw-17_1,,,,15,5.0,2.33,2.52,,2021-06-28,,bk-sw-17_1,Jun
81,yogendra,28.1060674 81.5971464 94.00782713025974 4.854,Banke,sw,bk-sw-25_1,,,,35,3.7,0.5,2.85,,2021-06-28,,bk-sw-25_1,Jun
82,yogendra,28.0830233 81.5956242 95.67942498117567 6.068,Banke,sw,bk-sw-27,,,,40,4.6,0.5,3.7,,2021-06-28,,bk-sw-27,Jun
83,yogendra,28.0780271 81.5932833 91.58089833272122 4.854,Banke,sw,bk-sw-26,,,,25,5.0,2.43,2.32,,2021-06-28,,bk-sw-26,Jun
84,yogendra,28.0818678 81.5466472 85.26613684146946 4.551,Banke,dt,,bk-dw-01,,,37,13.0,1.75,10.88,,2021-06-27,,bk-dw-01,Jun
85,yogendra,28.0960614 81.5211525 92.26744743036947 4.854,Banke,dt,,bk-dw-02,,,25,15.0,3.05,11.7,,2021-06-27,,bk-dw-02,Jun
86,yogendra,28.1222587 81.5165325 93.85865018509743 4.854,Banke,dt,,bk-dw-03,,,42,15.0,2.9,11.68,,2021-06-27,,bk-dw-03,Jun
87,yogendra,28.1132491 81.5173495 86.4275587127074 4.551,Banke,dt,,bk-dw-04_1,,,49,11.0,3.2,7.31,,2021-06-27,,bk-dw-04_1,Jun
88,yogendra,28.1115143 81.5216446 86.90497318220324 4.551,Banke,sw,bk-sw-19_1,,,,23,7.0,1.35,5.42,,2021-06-27,,bk-sw-19_1,Jun
89,yogendra,28.05074 81.5861809 90.63869055339899 4.551,Banke,sw,bk-sw-28,,,,55,8.0,1.2,6.25,,2021-06-27,,bk-sw-28,Jun
90,yogendra,28.0512338 81.6024418 103.20814738517352 4.854,Banke,dt,,bk-dw-05,,,27,6.0,2.3,3.43,,2021-06-27,,bk-dw-05,Jun
91,yogendra,27.9833291 81.7133238 81.77689259407666 4.551,Banke,sw,bk-sw-10_1,,,,70,5.0,2.31,1.99,,2021-06-25,,bk-sw-10_1,Jun
92,yogendra,28.0285301 81.6946952 84.90758921997094 4.551,Banke,sw,bk-sw-30,,,,55,6.0,1.2,4.25,,2021-06-25,,bk-sw-30,Jun
93,yogendra,28.0493766 81.6616486 81.25724309130749 4.854,Banke,sw,bk-sw-08_1,,,,36,7.0,1.7,4.94,,2021-06-25,,bk-sw-08_1,Jun
94,yogendra,28.0812159 81.6450163 97.02639652859702 4.551,Banke,sw,bk-sw-24_1,,,,54,5.0,2.7,1.76,,2021-06-23,,bk-sw-24_1,Jun
95,yogendra,28.0928993 81.6478289 102.18535161537388 4.803,Banke,sw,bk-sw-07_1,,,,15,2.95,0.5,2.3,,2021-06-23,,bk-sw-07_1,Jun
96,yogendra,28.0019837 81.6524184 83.12032862387017 4.803,Banke,sw,bk-sw-29,,,,40,6.0,1.4,4.2,,2021-06-22,,bk-sw-29,Jun
97,yogendra,28.0151419 81.6543268 73.21900264738026 4.984,Banke,sw,bk-sw-09_1,,,,60,5.0,2.22,2.18,,2021-06-22,,bk-sw-09_1,Jun
98,yogendra,28.0242235 81.6002958 97.83926275502972 4.551,Banke,sw,bk-sw-11_1,,,,50,7.0,1.2,5.3,,2021-06-22,,bk-sw-11_1,Jun
99,Anita,28.0731317 81.5541922 88.77808298150909 4.803,Bardiya,sw,,,bd-sw-16,,60,6.0,1.5,3.9,,2021-06-11,,bd-sw-16,Jun
100,Anita,28.0731963 81.5542336 82.99851946835179 4.551,Bardiya,sw,,,bd-sw-15,,55,4.0,1.4,2.05,,2021-06-11,,bd-sw-15,Jun
101,Anita,28.0731609 81.55413 78.93413194970529 4.854,Bardiya,sw,,,bd-sw-14,,10,4.0,1.5,2.4,,2021-06-11,,bd-sw-14,Jun
102,Anita,28.306207 81.3597747 97.58736990423863 4.854,Bardiya,sw,,,bd-sw-11,,75,6.0,2.0,3.25,,2021-06-09,,bd-sw-11,Jun
103,Anita,28.3062446 81.3597735 102.69642601630953 4.551,Bardiya,sw,,,bd-sw-07,,45,7.0,1.0,5.55,,2021-06-09,,bd-sw-07,Jun
104,Anita,28.3512265 81.4297433 134.99947791481347 4.854,Bardiya,sw,,,bd-sw-08,,40,6.0,1.0,4.6,,2021-06-09,,bd-sw-08,Jun
105,Anita,28.2897996 81.4420531 106.68836321354627 4.854,Bardiya,sw,,,bd-sw-04,,32,5.0,1.2,3.48,,2021-06-09,,bd-sw-04,Jun
106,Anita,28.2283599 81.5671117 92.64919927846016 4.854,Bardiya,sw,,,bd-sw-22,,10,8.0,2.8,5.1,,2021-06-09,,bd-sw-22,Jun
107,Anita,28.2490923 81.5849372 107.94908762650178 4.803,Bardiya,sw,,,bd-sw-21,,40,6.0,1.0,4.6,,2021-06-09,,bd-sw-21,Jun
108,Anita,28.2365263 81.5477659 97.19428848003315 4.803,Bardiya,sw,,,bd-sw-02,,0,4.0,1.0,3,,2021-06-09,,bd-sw-02,Jun
109,Anita,28.3287566 81.2715499 122.39451065462401 4.551,Bardiya,sw,,,bd-sw-13,,10,5.0,1.0,3.9,,2021-06-07,,bd-sw-13,Jun
110,Anita,28.2795966 81.2629383 91.36498346296538 4.803,Bardiya,sw,,,bd-sw-12,,40,14.0,2.0,11.6,,2021-06-07,,bd-sw-12,Jun
111,Anita,28.247492 81.3080601 113.68960467056324 4.854,Bardiya,sw,,,bd-sw-09,,50,6.0,2.0,3.5,,2021-06-07,,bd-sw-09,Jun
112,Anita,28.1691826 81.3378217 81.71405467671278 4.854,Bardiya,sw,,,bd-sw-06,,40,5.0,1.0,3.6,,2021-06-07,,bd-sw-06,Jun
113,Anita,28.1896926 81.3836599 97.53402704542424 4.854,Bardiya,sw,,,bd-sw-05,,30,6.0,1.0,4.7,,2021-06-07,,bd-sw-05,Jun
114,Anita,28.1880287 81.47992 93.21758807496238 4.854,Bardiya,sw,,,bd-sw-03,,40,5.0,1.0,3.6,,2021-06-07,,bd-sw-03,Jun
115,Anita,28.165612 81.5008629 92.75949082181221 4.803,Bardiya,sw,,,bd-sw-20,,70,7.0,1.9,4.4,,2021-06-07,,bd-sw-20,Jun
116,Anita,28.1463227 81.4792319 93.19272856470515 4.803,Bardiya,sw,,,bd-sw-19,,30,8.0,2.0,5.7,,2021-06-07,,bd-sw-19,Jun
117,Anita,28.1487553 81.4969459 96.17835771416038 4.803,Bardiya,sw,,,bd-sw-18,,40,6.0,1.0,4.6,,2021-06-07,,bd-sw-18,Jun
118,Anita,28.1054668 81.4827798 79.73053913925013 4.803,Bardiya,dt,,,,bd-dw-02,10,12.0,1.8,10.1,,2021-06-03,,bd-dw-02,Jun
119,Anita,28.0883383 81.5027308 91.82764724564169 4.854,Bardiya,dt,,,,bd-dw-03,20,13.0,1.0,11.8,,2021-06-03,,bd-dw-03,Jun
120,Anita,28.0828452 81.5111836 84.44654549989352 4.854,Bardiya,dt,,,,bd-dw-04,24,11.0,1.0,9.76,,2021-06-03,,bd-dw-04,Jun
121,Anita,28.0851481 81.5164416 86.74715379792804 4.854,Bardiya,dt,,,,bd-dw-01,25,13.0,1.0,11.75,,2021-06-03,,bd-dw-01,Jun
122,yogendra,28.1873063 81.6300652 106.36601218002876 4.854,Banke,sw,bk-sw-04,,,,65,5.0,2.44,1.91,,2021-06-05,,bk-sw-04,Jun
123,yogendra,28.192112 81.5747878 90.66314017084501 4.803,Banke,sw,bk-sw-05_1,,,,29,5.0,1.6,3.11,,2021-06-05,,bk-sw-05_1,Jun
124,yogendra,28.2064948 81.6307426 110.27958693388672 4.551,Banke,sw,bk-sw-03,,,,40,9.0,1.4,7.2,,2021-06-05,,bk-sw-03,Jun
125,yogendra,28.1961552 81.7119906 96.80919197738407 15.17,Banke,sw,bk-sw-01,,,,20,5.0,1.6,3.2,,2021-06-05,,bk-sw-01,Jun
126,yogendra,28.1317499 81.6588235 106.53494205818672 4.551,Banke,sw,bk-sw-06_1,,,,45,5.0,2.85,1.7,,2021-06-05,,bk-sw-06_1,Jun
127,yogendra,28.0928325 81.6477812 103.08150843363556 4.854,Banke,sw,bk-sw-07_1,,,,15,4.1,0.5,3.45,,2021-06-05,,bk-sw-07_1,Jun
128,yogendra,28.0812217 81.6450477 88.47714876386338 4.803,Banke,sw,bk-sw-24_1,,,,54,5.0,1.45,3.01,,2021-06-05,,bk-sw-24_1,Jun
129,yogendra,28.0818001 81.5465758 87.72579750251839 4.854,Banke,dt,,bk-dw-01,,,37,13.0,1.87,10.76,,2021-06-03,,bk-dw-01,Jun
130,yogendra,28.0960591 81.5211446 83.06716468452909 4.551,Banke,dt,,bk-dw-02,,,25,13.0,1.6,11.15,,2021-06-03,,bk-dw-02,Jun
131,yogendra,28.1224142 81.5165706 97.94866073939951 4.854,Banke,dt,,bk-dw-03,,,42,13.0,1.55,11.03,,2021-06-03,,bk-dw-03,Jun
132,yogendra,28.1132507 81.5173521 93.88311420385803 4.551,Banke,dt,,bk-dw-04_1,,,49,10.0,2.25,7.26,,2021-06-03,,bk-dw-04_1,Jun
133,yogendra,28.111471 81.5216667 86.16032390753342 4.803,Banke,sw,bk-sw-19_1,,,,23,8.0,2.1,5.67,,2021-06-03,,bk-sw-19_1,Jun
134,yogendra,28.0507597 81.5861889 91.86447364992894 4.551,Banke,sw,bk-sw-28,,,,55,7.0,0.85,5.6,,2021-06-02,,bk-sw-28,Jun
135,yogendra,28.0513305 81.6024486 86.4348803475658 4.854,Banke,dt,,bk-dw-05,,,27,6.0,1.3,4.43,,2021-06-02,,bk-dw-05,Jun
136,yogendra,28.146539 81.5520658 116.39917487513846 69.023,Banke,sw,bk-sw-18_1,,,,27,6.0,2.0,3.73,,2021-05-31,,bk-sw-18_1,May
137,yogendra,28.1287363 81.5894038 86.38434223209704 4.854,Banke,sw,bk-sw-17_1,,,,15,6.0,1.78,4.07,,2021-05-31,,bk-sw-17_1,May
